sample,richness,neutral,prevalence,copy_threshold,method
E18,23,8.302376032523332,p20,t2,16S
E48,56,21.96602023664613,p20,t2,16S
H34,14,5.637662358567241,p20,t2,16S
H37,6,1.8729853174947404,p20,t2,16S
P09,2,1.0900332507587076,p20,t2,16S
P64,8,6.061059380104256,p20,t2,16S
E58,13,3.397884535608009,p20,t2,16S
P36,7,6.265393993709824,p20,t2,16S
P58,7,4.526283661618075,p20,t2,16S
E27,34,11.061089765895655,p20,t2,16S
H08,12,4.506678908080113,p20,t2,16S
H20,23,14.081212866431697,p20,t2,16S
H23,22,6.991783260220943,p20,t2,16S
P53,3,1.6958112201080808,p20,t2,16S
E34,25,11.583482049632046,p20,t2,16S
H16,9,3.9971286679161198,p20,t2,16S
H25,12,2.996408112740548,p20,t2,16S
P14,1,1,p20,t2,16S
P34,5,3.750575072428126,p20,t2,16S
P51,5,2.7719686635848606,p20,t2,16S
P60,4,2.139234764234984,p20,t2,16S
P72,6,1.5360442434236175,p20,t2,16S
H32,13,6.881249061581538,p20,t2,16S
P48,9,4.818149262230421,p20,t2,16S
H07,7,5.542055029092064,p20,t2,16S
H12,13,3.782545989425924,p20,t2,16S
P01,3,1.7981105841662612,p20,t2,16S
E30,22,1.371478801815012,p20,t2,16S
H10,19,7.112572479264122,p20,t2,16S
P47,14,6.812664524361672,p20,t2,16S
P67,4,2.991106183683802,p20,t2,16S
P79,5,3.2829065742991115,p20,t2,16S
H39,10,2.90408861667912,p20,t2,16S
P25,7,2.360715476114211,p20,t2,16S
E25,9,3.370147848061247,p30,t2,16S
E31,5,2.580834400749691,p30,t2,16S
H19,10,7.980389612563545,p30,t2,16S
H40,4,1.324084380957382,p30,t2,16S
H45,4,2.6730402109246922,p30,t2,16S
P33,5,3.238696148864147,p30,t2,16S
E44,19,5.375108016438679,p30,t2,16S
E56,3,2.7734418817095468,p30,t2,16S
H06,7,3.657606332227522,p30,t2,16S
H43,4,2.7247704580477494,p30,t2,16S
P65,1,1,p30,t2,16S
P75,1,1,p30,t2,16S
H09,5,2.6010271464443457,p30,t2,16S
H47,1,1,p30,t2,16S
P43,1,1,p30,t2,16S
P45,2,1.5087213025915842,p30,t2,16S
E18,9,2.8905999856020967,p30,t2,16S
E48,23,8.608866634958396,p30,t2,16S
H34,8,3.6337264722105713,p30,t2,16S
H37,4,1.3348671976973256,p30,t2,16S
P09,1,1,p30,t2,16S
P64,2,1.1979507377966305,p30,t2,16S
E58,8,2.300354747118298,p30,t2,16S
P36,3,2.841366104598737,p30,t2,16S
P58,3,2.6781651578582015,p30,t2,16S
E27,21,5.955679485143055,p30,t2,16S
H08,6,2.1794574791729913,p30,t2,16S
H20,8,4.604340716040051,p30,t2,16S
H23,6,3.586776091316159,p30,t2,16S
P53,3,1.6958112201080808,p30,t2,16S
E34,21,8.769990406612214,p30,t2,16S
H16,4,3.1385051890216302,p30,t2,16S
H25,4,2.376478130449823,p30,t2,16S
P14,1,1,p30,t2,16S
P34,2,1.4627851859881698,p30,t2,16S
P51,1,1,p30,t2,16S
P60,1,1,p30,t2,16S
P72,4,1.1907611345785152,p30,t2,16S
H32,7,4.918063293822999,p30,t2,16S
P48,3,1.9441036782593994,p30,t2,16S
H07,6,4.671955281247593,p30,t2,16S
H12,8,2.7541010568490316,p30,t2,16S
P01,2,1.9031141162555834,p30,t2,16S
E30,13,1.1958028011061332,p30,t2,16S
H10,8,3.5526170966827815,p30,t2,16S
P47,4,3.0046632856601536,p30,t2,16S
P67,4,2.991106183683802,p30,t2,16S
P79,1,1,p30,t2,16S
H39,8,2.7682624217040823,p30,t2,16S
P25,4,2.898438123016878,p30,t2,16S
E25,4,2.226931821333158,p40,t2,16S
E31,3,1.6047595330904822,p40,t2,16S
H19,7,5.259031328820309,p40,t2,16S
H40,4,1.324084380957382,p40,t2,16S
H45,4,2.6730402109246922,p40,t2,16S
P33,2,1.9238606370070352,p40,t2,16S
E44,8,4.2692262066742375,p40,t2,16S
E56,2,1.9703464572337879,p40,t2,16S
H06,5,2.7569943311943597,p40,t2,16S
H43,4,2.7247704580477494,p40,t2,16S
H09,4,2.543367373170938,p40,t2,16S
H47,1,1,p40,t2,16S
E18,5,2.2137913102551425,p40,t2,16S
E48,9,2.47847252579417,p40,t2,16S
H34,8,3.6337264722105713,p40,t2,16S
H37,4,1.3348671976973256,p40,t2,16S
P09,1,1,p40,t2,16S
P64,1,1,p40,t2,16S
E58,4,1.7494868741179368,p40,t2,16S
P36,2,1.8698747951930859,p40,t2,16S
P58,2,1.6802645135144372,p40,t2,16S
E27,9,2.0915623353416843,p40,t2,16S
H08,4,1.971173416539896,p40,t2,16S
H20,5,3.430634854696679,p40,t2,16S
H23,4,2.4101475386826996,p40,t2,16S
P53,2,1.5619988613933213,p40,t2,16S
E34,9,4.008943320659094,p40,t2,16S
H16,2,1.7205055960670241,p40,t2,16S
H25,3,1.9833439023498969,p40,t2,16S
P34,1,1,p40,t2,16S
P72,1,1,p40,t2,16S
H32,6,3.921198486165922,p40,t2,16S
P48,2,1.122523388236337,p40,t2,16S
H07,5,3.7506840488585693,p40,t2,16S
H12,8,2.7541010568490316,p40,t2,16S
P01,2,1.9031141162555834,p40,t2,16S
E30,3,1.0427678948923882,p40,t2,16S
H10,7,2.8626442804125047,p40,t2,16S
P47,1,1,p40,t2,16S
P67,1,1,p40,t2,16S
H39,8,2.7682624217040823,p40,t2,16S
P25,2,1.4232333858221486,p40,t2,16S
E25,14,8.861841155716439,p0,t3,16S
E31,22,16.1878984677008,p0,t3,16S
H19,27,21.336345691508285,p0,t3,16S
H40,13,8.484250296745088,p0,t3,16S
H45,11,6.782689826481796,p0,t3,16S
P33,8,4.748583707305955,p0,t3,16S
E44,16,9.377128939407816,p0,t3,16S
E56,22,14.993434331599973,p0,t3,16S
H06,13,7.297980066292011,p0,t3,16S
H43,17,11.460450629199332,p0,t3,16S
P05,5,2.531404903647256,p0,t3,16S
P65,21,16.245279493111447,p0,t3,16S
P75,9,4.810439369270259,p0,t3,16S
H09,19,11.459454629531116,p0,t3,16S
H47,16,11.316751588821635,p0,t3,16S
P43,1,1,p0,t3,16S
P45,16,7.328605956186359,p0,t3,16S
E18,15,8.409475207009573,p0,t3,16S
E48,17,12.424333330346952,p0,t3,16S
H34,16,9.315384681376958,p0,t3,16S
H37,9,4.564524235164041,p0,t3,16S
P09,6,3.92272697675549,p0,t3,16S
P64,19,14.44801361525224,p0,t3,16S
E58,9,3.649318501281129,p0,t3,16S
P36,10,6.144472231806334,p0,t3,16S
P58,20,12.849450629011692,p0,t3,16S
E27,17,10.994008720676907,p0,t3,16S
H08,11,3.3439950854234586,p0,t3,16S
H20,22,16.551561156699094,p0,t3,16S
H23,15,8.47669949345645,p0,t3,16S
P53,5,3.310684798547146,p0,t3,16S
E34,18,11.032693168964782,p0,t3,16S
H16,15,7.728347351269126,p0,t3,16S
H25,9,5.50023607465043,p0,t3,16S
P14,6,4.037216152798437,p0,t3,16S
P34,17,11.40351251921681,p0,t3,16S
P51,18,12.47752076419257,p0,t3,16S
P60,12,7.428820408330782,p0,t3,16S
P72,7,4.435651300690934,p0,t3,16S
H32,15,9.664870629540452,p0,t3,16S
P48,17,12.443865007018069,p0,t3,16S
H07,22,14.376252359345653,p0,t3,16S
H12,12,8.660166355318546,p0,t3,16S
P01,7,3.301079162784596,p0,t3,16S
E30,1,1,p0,t3,16S
H10,20,12.983706728539602,p0,t3,16S
P47,20,15.608135766096405,p0,t3,16S
P67,18,11.183828909485054,p0,t3,16S
P79,6,4.032453008998349,p0,t3,16S
H39,7,3.6733049585766047,p0,t3,16S
P25,14,10.547375044912245,p0,t3,16S
E25,14,8.861841155716439,p10,t3,16S
E31,22,16.1878984677008,p10,t3,16S
H19,19,17.677390958066212,p10,t3,16S
H40,4,3.914320536589839,p10,t3,16S
H45,5,3.8734495837339926,p10,t3,16S
P33,4,3.528731894645248,p10,t3,16S
E44,16,9.377128939407816,p10,t3,16S
E56,22,14.993434331599973,p10,t3,16S
H06,5,3.1232056380484434,p10,t3,16S
H43,9,7.613011034644075,p10,t3,16S
P65,9,7.08370075756711,p10,t3,16S
H09,7,4.2867779220788185,p10,t3,16S
H47,2,1.9991418045221827,p10,t3,16S
P45,2,1.7916026234661793,p10,t3,16S
E18,15,8.409475207009573,p10,t3,16S
E48,17,12.424333330346952,p10,t3,16S
H34,6,4.215449719761595,p10,t3,16S
H37,3,1.6389932250623729,p10,t3,16S
P09,1,1,p10,t3,16S
P64,10,7.69803703448959,p10,t3,16S
E58,9,3.649318501281129,p10,t3,16S
P58,4,3.0363760686810575,p10,t3,16S
E27,17,10.994008720676907,p10,t3,16S
H08,6,2.429465941145506,p10,t3,16S
H20,15,11.381062032275349,p10,t3,16S
H23,10,5.363926368514831,p10,t3,16S
P53,2,1.5619988613933213,p10,t3,16S
E34,18,11.032693168964782,p10,t3,16S
H16,7,4.1058792724315865,p10,t3,16S
H25,3,1.7116299094394551,p10,t3,16S
P14,1,1,p10,t3,16S
P34,1,1,p10,t3,16S
P51,1,1,p10,t3,16S
P60,2,1.3081603909583985,p10,t3,16S
P72,2,1.2272013916317897,p10,t3,16S
H32,9,7.451845467932148,p10,t3,16S
P48,10,7.020041421751807,p10,t3,16S
H07,14,11.1448486460642,p10,t3,16S
H12,3,2.6723821751476016,p10,t3,16S
E30,1,1,p10,t3,16S
H10,10,6.669265800382742,p10,t3,16S
P47,12,8.468082097273648,p10,t3,16S
P67,3,2.909877778837499,p10,t3,16S
P79,4,2.290106998780478,p10,t3,16S
H39,4,2.519527068533823,p10,t3,16S
P25,2,1.498526070030186,p10,t3,16S
E25,7,4.013854693925846,p20,t3,16S
H19,7,6.90814227881738,p20,t3,16S
H40,1,1,p20,t3,16S
H45,3,2.5539363097774177,p20,t3,16S
P33,2,1.9238606370070352,p20,t3,16S
E44,1,1,p20,t3,16S
E56,5,3.494312615769491,p20,t3,16S
H06,2,1.814851432404514,p20,t3,16S
H43,2,1.7150255318479306,p20,t3,16S
H09,5,3.3816171417326215,p20,t3,16S
H47,1,1,p20,t3,16S
E18,8,5.30713524639811,p20,t3,16S
E48,3,1.691774436771149,p20,t3,16S
H34,4,3.0278082220519966,p20,t3,16S
H37,2,1.1745311479632223,p20,t3,16S
P09,1,1,p20,t3,16S
E58,2,1.6608293682125188,p20,t3,16S
P58,2,1.9682218900969954,p20,t3,16S
E27,6,3.713081242974072,p20,t3,16S
H08,3,1.8393571630760264,p20,t3,16S
H20,6,4.3900917174005425,p20,t3,16S
H23,6,3.384815475454427,p20,t3,16S
P53,2,1.5619988613933213,p20,t3,16S
E34,5,3.0428574378726583,p20,t3,16S
H16,3,2.6169212100418444,p20,t3,16S
P14,1,1,p20,t3,16S
P34,1,1,p20,t3,16S
P72,1,1,p20,t3,16S
H32,6,5.248226438862379,p20,t3,16S
P48,1,1,p20,t3,16S
H07,4,3.19160985030315,p20,t3,16S
H12,2,1.9852226805285629,p20,t3,16S
E30,1,1,p20,t3,16S
H10,7,4.4508050227433715,p20,t3,16S
P47,2,1.8356506017772736,p20,t3,16S
P67,1,1,p20,t3,16S
P79,1,1,p20,t3,16S
H39,2,1.4396299906016157,p20,t3,16S
P25,1,1,p20,t3,16S
E25,2,1.9344942660511109,p30,t3,16S
H19,2,1.9666031905350354,p30,t3,16S
H40,1,1,p30,t3,16S
H45,1,1,p30,t3,16S
H06,2,1.814851432404514,p30,t3,16S
H43,1,1,p30,t3,16S
H09,4,2.543367373170938,p30,t3,16S
H47,1,1,p30,t3,16S
E18,2,1.6567310783936475,p30,t3,16S
E48,1,1,p30,t3,16S
H34,1,1,p30,t3,16S
H37,1,1,p30,t3,16S
E58,2,1.6608293682125188,p30,t3,16S
E27,1,1,p30,t3,16S
H08,2,1.394179586608412,p30,t3,16S
H20,2,1.8028441361321186,p30,t3,16S
H23,1,1,p30,t3,16S
E34,1,1,p30,t3,16S
H16,2,1.7205055960670241,p30,t3,16S
H32,4,3.7529048739897397,p30,t3,16S
H07,2,1.505987147949151,p30,t3,16S
H12,2,1.9852226805285629,p30,t3,16S
E30,1,1,p30,t3,16S
H10,1,1,p30,t3,16S
H39,2,1.4396299906016157,p30,t3,16S
H19,1,1,p40,t3,16S
H06,1,1,p40,t3,16S
H43,1,1,p40,t3,16S
H09,1,1,p40,t3,16S
E48,1,1,p40,t3,16S
H34,1,1,p40,t3,16S
H37,1,1,p40,t3,16S
E27,1,1,p40,t3,16S
H20,1,1,p40,t3,16S
H23,1,1,p40,t3,16S
E34,1,1,p40,t3,16S
H32,1,1,p40,t3,16S
H07,1,1,p40,t3,16S
E30,1,1,p40,t3,16S
H10,1,1,p40,t3,16S
H39,1,1,p40,t3,16S
E25,3,2.7882724673245534,p0,t4,16S
E31,1,1,p0,t4,16S
H19,1,1,p0,t4,16S
H40,4,3.914320536589839,p0,t4,16S
H45,3,2.7206282504635437,p0,t4,16S
P33,3,2.5579942571817584,p0,t4,16S
E44,2,1.9921383384351046,p0,t4,16S
E56,2,1.9851462488907359,p0,t4,16S
H06,3,2.941165015212755,p0,t4,16S
H43,2,1.8468354589186686,p0,t4,16S
P05,2,1.5060950650117522,p0,t4,16S
P65,2,1.9976761003454577,p0,t4,16S
P75,2,1.865820115471177,p0,t4,16S
H09,2,1.9487712175151217,p0,t4,16S
H47,3,2.9055395578010734,p0,t4,16S
P43,1,1,p0,t4,16S
P45,2,1.7916026234661793,p0,t4,16S
E18,3,2.9577353254274863,p0,t4,16S
E48,1,1,p0,t4,16S
H34,2,1.9997898169953148,p0,t4,16S
H37,2,1.935702461967282,p0,t4,16S
P09,3,2.6821487105559743,p0,t4,16S
P64,3,2.988588433512473,p0,t4,16S
E58,2,1.6608293682125188,p0,t4,16S
P36,2,1.9409387829446332,p0,t4,16S
P58,2,1.993541370342128,p0,t4,16S
E27,4,3.975716620596513,p0,t4,16S
H08,2,1.4990459445522413,p0,t4,16S
H20,1,1,p0,t4,16S
H23,3,2.667297070384766,p0,t4,16S
P53,3,2.673416542172784,p0,t4,16S
E34,2,1.811240969829967,p0,t4,16S
H16,2,1.9803001408223813,p0,t4,16S
H25,3,2.7516938397324977,p0,t4,16S
P14,3,2.711687615003735,p0,t4,16S
P34,4,3.9038717842268302,p0,t4,16S
P51,3,2.88407892167734,p0,t4,16S
P60,3,2.946795118604023,p0,t4,16S
P72,3,2.932304819932662,p0,t4,16S
H32,2,1.7997406154062554,p0,t4,16S
P48,1,1,p0,t4,16S
H07,2,1.9105091960699674,p0,t4,16S
H12,5,4.914763215168207,p0,t4,16S
P01,3,2.252760214528158,p0,t4,16S
E30,1,1,p0,t4,16S
H10,3,2.983275208245721,p0,t4,16S
P47,1,1,p0,t4,16S
P67,1,1,p0,t4,16S
P79,3,2.838111606092117,p0,t4,16S
H39,2,1.9836262599088448,p0,t4,16S
P25,3,2.9061112161385294,p0,t4,16S
E25,3,2.7882724673245534,p10,t4,16S
E31,1,1,p10,t4,16S
H40,1,1,p10,t4,16S
H45,2,1.9340254558565506,p10,t4,16S
E44,2,1.9921383384351046,p10,t4,16S
E56,2,1.9851462488907359,p10,t4,16S
H09,1,1,p10,t4,16S
P45,1,1,p10,t4,16S
E18,3,2.9577353254274863,p10,t4,16S
E48,1,1,p10,t4,16S
H34,2,1.9997898169953148,p10,t4,16S
H37,1,1,p10,t4,16S
E58,2,1.6608293682125188,p10,t4,16S
E27,4,3.975716620596513,p10,t4,16S
H08,1,1,p10,t4,16S
H23,1,1,p10,t4,16S
E34,2,1.811240969829967,p10,t4,16S
H16,1,1,p10,t4,16S
H32,1,1,p10,t4,16S
H07,1,1,p10,t4,16S
H12,2,1.9852226805285629,p10,t4,16S
E30,1,1,p10,t4,16S
H10,1,1,p10,t4,16S
P47,1,1,p10,t4,16S
P79,1,1,p10,t4,16S
H39,1,1,p10,t4,16S
E25,2,1.9344942660511109,p20,t4,16S
H45,1,1,p20,t4,16S
E56,1,1,p20,t4,16S
H09,1,1,p20,t4,16S
E18,1,1,p20,t4,16S
E48,1,1,p20,t4,16S
H34,1,1,p20,t4,16S
E58,2,1.6608293682125188,p20,t4,16S
E27,2,1.998590046576272,p20,t4,16S
H08,1,1,p20,t4,16S
E34,1,1,p20,t4,16S
H32,1,1,p20,t4,16S
H07,1,1,p20,t4,16S
H12,1,1,p20,t4,16S
E30,1,1,p20,t4,16S
H39,1,1,p20,t4,16S
E25,1,1,p30,t4,16S
E18,1,1,p30,t4,16S
E48,1,1,p30,t4,16S
E58,1,1,p30,t4,16S
E27,1,1,p30,t4,16S
E34,1,1,p30,t4,16S
E30,1,1,p30,t4,16S
E48,1,1,p40,t4,16S
E27,1,1,p40,t4,16S
E34,1,1,p40,t4,16S
E30,1,1,p40,t4,16S
