sample,richness,neutral,prevalence,copy_threshold,method
H09,42,7.931038982907402,p10,t0,16S
H47,27,8.482829805154022,p10,t0,16S
P43,4,1.0457116039598406,p10,t0,16S
P45,19,4.055092714723918,p10,t0,16S
E18,155,15.45614796045737,p10,t0,16S
E48,643,125.8250017460532,p10,t0,16S
H34,23,7.572263063051474,p10,t0,16S
H37,14,2.3711621844092567,p10,t0,16S
P09,7,2.4701331423496873,p10,t0,16S
P64,81,23.202986917504038,p10,t0,16S
E58,140,9.76459550604455,p10,t0,16S
P36,30,9.240816015008335,p10,t0,16S
P58,36,6.278048064793627,p10,t0,16S
E27,173,23.533591397395625,p10,t0,16S
H08,35,3.799624234540207,p10,t0,16S
H20,74,24.68080251317311,p10,t0,16S
H23,63,10.79456921759077,p10,t0,16S
P53,8,3.251780954526871,p10,t0,16S
E34,44,18.012508958322517,p10,t0,16S
H16,26,5.529132649640017,p10,t0,16S
H25,63,7.1592836923429966,p10,t0,16S
P14,9,1.9668996880946168,p10,t0,16S
P34,23,8.083583906173699,p10,t0,16S
P51,17,7.202257515130339,p10,t0,16S
P60,11,2.78003331409195,p10,t0,16S
P72,10,2.6532542118332993,p10,t0,16S
H32,51,11.3412409632204,p10,t0,16S
P48,91,23.58324416050308,p10,t0,16S
H07,31,17.182608197347406,p10,t0,16S
H12,47,9.445107230996193,p10,t0,16S
P01,8,2.5211991506612472,p10,t0,16S
E30,294,2.5447563359146317,p10,t0,16S
H10,60,14.841284012706653,p10,t0,16S
P47,100,27.00739862085343,p10,t0,16S
P67,19,4.619398763417091,p10,t0,16S
P79,20,3.915414206852901,p10,t0,16S
H39,29,3.853998315989928,p10,t0,16S
P25,16,5.34074513082668,p10,t0,16S
E25,33,8.094042287762868,p20,t0,16S
E31,19,9.860457659038802,p20,t0,16S
H19,41,21.949418825863816,p20,t0,16S
H40,9,3.317525764793636,p20,t0,16S
H45,11,3.5262276363373313,p20,t0,16S
P33,20,4.797355872544355,p20,t0,16S
E44,148,25.140077039145105,p20,t0,16S
E56,23,13.150613828279814,p20,t0,16S
H06,22,3.3951560491171007,p20,t0,16S
H43,10,5.8595795345998685,p20,t0,16S
P05,6,1.2165230723333396,p20,t0,16S
P65,24,12.874479522273418,p20,t0,16S
P75,9,5.527663717712286,p20,t0,16S
H09,15,4.768560274571671,p20,t0,16S
H47,12,3.6062293913185126,p20,t0,16S
P43,2,1.9378192408783848,p20,t0,16S
P45,11,3.170755961849388,p20,t0,16S
E18,48,9.39652975091105,p20,t0,16S
E48,226,54.331344436408685,p20,t0,16S
H34,16,5.755284959733919,p20,t0,16S
H37,8,1.9173855414654175,p20,t0,16S
P09,3,1.1435968659875335,p20,t0,16S
P64,28,11.91023279716955,p20,t0,16S
E58,32,3.97286745914076,p20,t0,16S
P36,19,13.866540927818033,p20,t0,16S
P58,17,6.262735949140303,p20,t0,16S
E27,109,16.85478015634129,p20,t0,16S
H08,16,4.667006984010608,p20,t0,16S
H20,40,18.650214570768643,p20,t0,16S
H23,37,8.413633118368981,p20,t0,16S
P53,5,2.770144249405074,p20,t0,16S
E34,31,13.222212113043023,p20,t0,16S
H16,15,4.101240549213722,p20,t0,16S
H25,30,3.47500182279818,p20,t0,16S
P14,5,1.1266767178585926,p20,t0,16S
P34,11,5.671331926950123,p20,t0,16S
P51,7,2.9916072448974718,p20,t0,16S
P60,9,2.3315942024511807,p20,t0,16S
P72,7,1.540228895001688,p20,t0,16S
H32,20,7.339212032355808,p20,t0,16S
P48,31,10.630605598645891,p20,t0,16S
